case_count,segment,state,zone,year,month,day,festival_holiday
40,1,19,1,2017,4,1,0
5,1,19,1,2017,4,3,0
4,1,19,1,2017,4,4,0
113,1,19,1,2017,4,5,1
76,1,19,1,2017,4,7,0
123,1,19,1,2017,4,12,0
81,1,19,1,2017,4,13,0
117,1,19,1,2017,4,14,1
127,1,19,1,2017,4,15,0
42,1,19,1,2017,4,16,0
145,1,19,1,2017,4,17,0
100,1,19,1,2017,4,18,0
140,1,19,1,2017,4,19,0
81,1,19,1,2017,4,20,0
120,1,19,1,2017,4,21,0
79,1,19,1,2017,4,22,0
41,1,19,1,2017,4,23,0
111,1,19,1,2017,4,24,0
115,1,19,1,2017,4,25,0
124,1,19,1,2017,4,26,0
114,1,19,1,2017,4,27,0
114,1,19,1,2017,4,28,0
127,1,19,1,2017,4,29,0
497,1,19,1,2017,4,30,0
130,1,19,1,2017,5,1,1
17,1,19,1,2017,5,2,0
11,1,19,1,2017,5,3,0
18,1,19,1,2017,5,4,0
188,1,19,1,2017,5,5,0
26,1,19,1,2017,5,7,0
0,1,19,1,2017,5,8,0
1,1,19,1,2017,5,9,0
147,1,19,1,2017,5,10,1
97,1,19,1,2017,5,11,0
124,1,19,1,2017,5,12,0
88,1,19,1,2017,5,13,0
50,1,19,1,2017,5,14,0
170,1,19,1,2017,5,15,0
132,1,19,1,2017,5,16,0
143,1,19,1,2017,5,17,0
107,1,19,1,2017,5,18,0
98,1,19,1,2017,5,19,0
96,1,19,1,2017,5,20,0
47,1,19,1,2017,5,21,0
137,1,19,1,2017,5,22,0
115,1,19,1,2017,5,23,0
121,1,19,1,2017,5,24,0
99,1,19,1,2017,5,25,0
111,1,19,1,2017,5,26,0
109,1,19,1,2017,5,27,0
66,1,19,1,2017,5,28,0
133,1,19,1,2017,5,29,0
122,1,19,1,2017,5,30,0
488,1,19,1,2017,5,31,0
0,1,19,1,2017,6,1,0
39,1,19,1,2017,6,2,0
40,1,19,1,2017,6,3,0
29,1,19,1,2017,6,4,0
133,1,19,1,2017,6,5,0
18,1,19,1,2017,6,6,0
113,1,19,1,2017,6,7,0
98,1,19,1,2017,6,8,0
157,1,19,1,2017,6,9,0
147,1,19,1,2017,6,10,0
73,1,19,1,2017,6,11,0
177,1,19,1,2017,6,12,0
152,1,19,1,2017,6,13,0
179,1,19,1,2017,6,14,0
157,1,19,1,2017,6,15,0
161,1,19,1,2017,6,16,0
182,1,19,1,2017,6,17,0
92,1,19,1,2017,6,18,0
209,1,19,1,2017,6,19,0
183,1,19,1,2017,6,20,0
236,1,19,1,2017,6,21,0
222,1,19,1,2017,6,22,0
258,1,19,1,2017,6,23,0
323,1,19,1,2017,6,24,0
297,1,19,1,2017,6,25,1
